113; 671; 4/1/17; 6/9/17; 1; 0; 0; 9880.55; 0.00; 0.00;
122; 234; 4/1/17; 6/9/17; 1; 0; 0; 14390.58; 0.00; 0.00;
123; 439; 4/1/17; 4/3/17; 0; 0; 0; 0.00; 0.00; 0.00;
126; 671; 4/1/17; 6/9/17; 1; 0; 0; 3030.12; 0.00; 0.00;
127; 439; 4/1/17; 6/9/17; 1; 0; 0; 306.06; 0.00; 0.00;
128; 135; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
134; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
135; 135; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
136; 234; 4/1/17; 4/3/17; 1; 0; 1; 0.00; 0.00; 161.89;
138; 52; 4/1/17; 6/9/17; 1; 0; 0; 63251.91; 0.00; 0.00;
141; 267; 4/1/17; 6/9/17; 1; 0; 1; 4327.29; 0.00; 0.00;
145; 53; 4/1/17; 6/9/17; 1; 1; 1; 103214.68; 8773.51; 10632.37;
147; 671; 4/1/17; 6/9/17; 1; 0; 0; 1787.78; 0.00; 0.00;
151; 135; 4/1/17; 4/3/17; 1; 0; 1; 0.00; 0.00; 149.91;
152; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
156; 671; 4/1/17; 6/9/17; 1; 0; 1; 1472.48; 0.00; 146.11;
163; 207; 4/1/17; 6/9/17; 0; 1; 0; 0.00; 328722.91; 0.00;
166; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
171; 48; 4/1/17; 6/9/17; 1; 0; 1; 37802.31; 0.00; 0.00;
175; 222; 4/1/17; 6/9/17; 1; 0; 0; 19727.91; 0.00; 0.00;
82; 1; 4/3/17; 4/20/17; 1; 0; 0; 0.00; 0.00; 0.00;
181; 52; 4/1/17; 6/9/17; 1; 1; 1; 180685.66; 79688.36; 16152.00;
182; 52; 4/1/17; 6/9/17; 1; 0; 0; 28604.23; 0.00; 0.00;
183; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
197; 222; 4/1/17; 4/3/17; 1; 0; 0; 13609.42; 0.00; 0.00;
200; 135; 4/1/17; 5/3/17; 1; 0; 0; 0.00; 0.00; 0.00;
201; 64; 4/1/17; 6/9/17; 1; 0; 1; 60089.64; 0.00; 1971.30;
202; 222; 4/1/17; 6/9/17; 1; 0; 0; 4433.94; 0.00; 0.00;
205; 671; 4/1/17; 6/9/17; 1; 0; 1; 13178.31; 0.00; 1173.66;
206; 52; 4/1/17; 6/9/17; 1; 0; 1; 67812.58; 0.00; 2223.98;
209; 64; 4/1/17; 6/9/17; 1; 0; 0; 17946.38; 0.00; 0.00;
209; 64; 4/1/17; 6/9/17; 1; 0; 0; 17946.38; 0.00; 0.00;
212; 671; 4/1/17; 6/9/17; 1; 0; 0; 1560.47; 0.00; 0.00;
222; 267; 4/1/17; 6/9/17; 1; 0; 0; 872.61; 0.00; 0.00;
227; 234; 4/1/17; 6/9/17; 1; 0; 1; 2754.53; 0.00; 306.72;
228; 234; 4/1/17; 6/9/17; 1; 0; 0; 31737.99; 0.00; 0.00;
230; 52; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
230; 207; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
235; 222; 4/1/17; 6/9/17; 1; 0; 0; 2766.63; 0.00; 0.00;
238; 52; 4/1/17; 6/9/17; 1; 0; 0; 1256.82; 0.00; 0.00;
241; 20; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
241; 48; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
241; 267; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
252; 135; 4/1/17; 5/3/17; 1; 0; 0; 2367.79; 0.00; 0.00;
254; 52; 4/1/17; 6/9/17; 1; 0; 0; 1027.17; 0.00; 0.00;
255; 671; 4/1/17; 6/9/17; 0; 1; 1; 0.00; 10229.94; 534.92;
